title,price,region,link
Кофе в Москве,250,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_7430906787?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе растворимый нескафе голд в Москве,720,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_rastvorimyy_neskafe_gold_7258058724?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Не тот кофе К. Той в пленке в Москве,650,москва,https://www.avito.ru/moskva/knigi_i_zhurnaly/ne_tot_kofe_k._toy_v_plenke_4578280934?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе молотый италия (оригинал) 250грамм в Москве,250,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_molotyy_italiya_original_250gramm_7531505082?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе зерновой Super Jumbo в Москве,780,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_zernovoy_super_jumbo_2448774446?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе арабика в зернах кг в Москве,900,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_arabika_v_zernah_kg_7528206226?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе молотый в Москве,80,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_molotyy_4460742149?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе Капсулы Nespresso Original в Москве,540,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_kapsuly_nespresso_original_4200309908?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Кофе в Москве,350,москва,https://www.avito.ru/moskva/produkty_pitaniya/kofe_7620992681?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIxSEVYdTY0dGw5NTdQd2ZaIjt9UohALD8AAAA
Обжарка кофе в Москве,45,москва,https://www.avito.ru/moskva/predlozheniya_uslug/obzharka_kofe_3968141781?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Обжарка кофе от 60кг любой объем в Москве,52,москва,https://www.avito.ru/moskva/predlozheniya_uslug/obzharka_kofe_ot_60kg_lyuboy_obem_1157036919?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Ищу кофе леди с 1.09 - 9.09 в Москве,0,москва,https://www.avito.ru/moskva/predlozheniya_uslug/ischu_kofe_ledi_s_1.09_-_9.09_7527047941?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Утилизация стиральных и посудомоечных машин в Москве,0,москва,https://www.avito.ru/moskva/predlozheniya_uslug/utilizatsiya_stiralnyh_i_posudomoechnyh_mashin_4548955622?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
"Установка кофе-корнера, Милкшейк, Айс - кофе в Москве",2000,москва,https://www.avito.ru/moskva/predlozheniya_uslug/ustanovka_kofe-kornera_milksheyk_ays_-_kofe_7507180839?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Помогу открыть Кофейню / Кофе с собой в Москве,0,москва,https://www.avito.ru/moskva/predlozheniya_uslug/pomogu_otkryt_kofeynyu_kofe_s_soboy_1703381876?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Кофе-брейк на ваше мероприятие в Москве,750,москва,https://www.avito.ru/moskva/predlozheniya_uslug/kofe-breyk_na_vashe_meropriyatie_7554191032?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Числа про тебя — Разбор от нумеролога за кофе) в Москве,250,москва,https://www.avito.ru/moskva/predlozheniya_uslug/chisla_pro_tebya_razbor_ot_numerologa_za_kofe_7318483339?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Обжарка кофе в промышленном ростере в Москве,110,москва,https://www.avito.ru/moskva/predlozheniya_uslug/obzharka_kofe_v_promyshlennom_rostere_2370195054?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
Кофе принтер в аренду на месяц в Москве,10000,москва,https://www.avito.ru/moskva/predlozheniya_uslug/kofe_printer_v_arendu_na_mesyats_2049896097?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
"Кейтеринг, банкет, фуршет, кофе брейк в Москве",5000,москва,https://www.avito.ru/moskva/predlozheniya_uslug/keytering_banket_furshet_kofe_breyk_7611897350?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOG5jeWJ4bGx1ejB6d3QzdXExdTR3OHVwOGt1bDB0YyI7fdZs-sRwAAAA
