title,price,region,link
Кофе зерновой. Всегда свежая обжарка в Новосибирске,1300,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_zernovoy._vsegda_svezhaya_obzharka_2417626149?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе в зернах 1 кг арабика/робуста в Новосибирске,1000,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_v_zernah_1_kg_arabikarobusta_7257227870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе nescafe в Новосибирске,100,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_nescafe_7344710209?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе растворимый в Новосибирске,700,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_rastvorimyy_4794068177?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе в зернах 1 кг розница в Новосибирске,1300,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_v_zernah_1_kg_roznitsa_2879718347?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе растворимый 500 грамм в Новосибирске,250,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_rastvorimyy_500_gramm_3584475145?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
"Кофе 1кг, оригинал в Новосибирске",1500,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_1kg_original_4117441556?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Кофе зерновой в Новосибирске,260,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_zernovoy_4666751758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
"Кофе арабика для офиса и кафе — Poetti, опт и розница в Новосибирске",1300,новосибирск,https://www.avito.ru/novosibirsk/produkty_pitaniya/kofe_arabika_dlya_ofisa_i_kafe_poetti_opt_i_roznitsa_7653232445?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxRXhhYXBpNGxuZ0J6M3RVIjt9hN_3wj8AAAA
Обучение на бариста в Новосибирске,4000,новосибирск,https://www.avito.ru/novosibirsk/predlozheniya_uslug/obuchenie_na_barista_7440636831?context=H4sIAAAAAAAA_wFwAI__YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTY6InNlYXJjaF9jYW5kX2dlbnMiO3M6MToieCI7czozMToiOWEyb20wanNwdWpxZTlydjc3MTcyczk1cnRqNTk0dSI7fQ3SGXZwAAAA
