title,price,region,link
Кофе растворимый 1кг в Санкт-Петербурге,1150,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_rastvorimyy_1kg_4452846935?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Растворимый кофе Gevalia. Гевалия 200гр в Санкт-Петербурге,510,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/rastvorimyy_kofe_gevalia._gevaliya_200gr_7638448969?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе в Санкт-Петербурге,70,санкт-петербург,https://www.avito.ru/sankt-peterburg/krasota_i_zdorove/kofe_3406621500?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Коробка от кофе в Санкт-Петербурге,50,санкт-петербург,https://www.avito.ru/sankt-peterburg/kollektsionirovanie/korobka_ot_kofe_7221943161?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе 3в1 Монарх в Санкт-Петербурге,5,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_3v1_monarh_7233375909?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе в зернах 230гр для тонуса в Санкт-Петербурге,450,санкт-петербург,https://www.avito.ru/sankt-peterburg/sport_i_otdyh/kofe_v_zernah_230gr_dlya_tonusa_7539869723?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе в капсулах nespresso в Санкт-Петербурге,200,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_v_kapsulah_nespresso_7221666982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе растворимый в Санкт-Петербурге,1260,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_rastvorimyy_2488591249?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе Gevalia (Финский) в Санкт-Петербурге,760,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_gevalia_finskiy_1832921524?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Кофе Жокей 450г. молотый По-восточному в Санкт-Петербурге,565,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/kofe_zhokey_450g._molotyy_po-vostochnomu_4058606461?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
Зерновой кофе в Санкт-Петербурге,1000,санкт-петербург,https://www.avito.ru/sankt-peterburg/produkty_pitaniya/zernovoy_kofe_4510027845?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJGWHprUExNVFpZTWtLNzd1Ijt9C0qQfj8AAAA
