title,price,location,date,link
Игровой ноутбук Acer Nitro 5 - Core i9 / RTX 3060 в Москве,46999,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_acer_nitro_5_-_core_i9_rtx_3060_7587475223?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбуки оптом и в розницу в Москве,20900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuki_optom_i_v_roznitsu_4184275664?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук под игры Acer Nitro Core i9 / RTX 3060 в Москве,46349,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_pod_igry_acer_nitro_core_i9_rtx_3060_7607267905?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбуки со склада / i7 / 16GB / 512 SSD / IPS в Москве,21000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuki_so_sklada_i7_16gb_512_ssd_ips_7512143617?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровой ноутбук Acer Nitro 1050 в Москве,23900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_acer_nitro_1050_7561662093?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук Acer Aspire для игр Geforce GTX 1050 1650 в Москве,22900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_acer_aspire_dlya_igr_geforce_gtx_1050_1650_7561108722?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ноутбуки бу/розница, опт в Москве",23990,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuki_buroznitsa_opt_3909386834?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ноутбуки новые Core i7, 16Gb, 512SSD, IPS в Москве",25555,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuki_novye_core_i7_16gb_512ssd_ips_7223498748?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук Msi Katana Игровой GTX 1050-4Gb Купите в Москве,25890,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_msi_katana_igrovoy_gtx_1050-4gb_kupite_7497924608?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ноутбук Acer Core i5 11Gen,8Gb,256SSD без рамок в Москве",22900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_acer_core_i5_11gen8gb256ssd_bez_ramok_7479098290?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровой ноутбук Lenovo RTX 3050 Ti – рви врагов в Москве,43999,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_lenovo_rtx_3050_ti_rvi_vragov_7208207591?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Honor MagicBook X16 Core i5-12450H 16/512 в Москве,39900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/honor_magicbook_x16_core_i5-12450h_16512_7619059110?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Новые ноутбуки Asus i5 i7 с гарантией в Москве,26500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/novye_noutbuki_asus_i5_i7_s_garantiey_7512277574?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровой ноутбук Asus ROG Strix nvidia RTX 3050 в Москве,49000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_asus_rog_strix_nvidia_rtx_3050_7593411669?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровые бу ноутбуки Acer GeForce GTX 1050 в Москве,24900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovye_bu_noutbuki_acer_geforce_gtx_1050_7561471322?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Acer Nitro Игровой ноутбук i5 GTX 1650 Красный Дер в Москве,36500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/acer_nitro_igrovoy_noutbuk_i5_gtx_1650_krasnyy_der_7497897059?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровой ноутбук Asus TUF Gaming RTX 3050 в коробке в Москве,44900,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_asus_tuf_gaming_rtx_3050_v_korobke_7497770826?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Мощный ноутбук HP i5 i7 16GB 1TB SSD в Москве,24500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/moschnyy_noutbuk_hp_i5_i7_16gb_1tb_ssd_7230750351?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Thinkpad t480s i7/16/256/ips в Москве,21999,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/thinkpad_t480s_i716256ips_7396029327?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
